SENT 182475.0 B
1. 3ms, 0.0030002593994140625 unix
2. 0ms, 0.0 unix
3. 0ms, 0.0 unix
4. 0ms, 0.0 unix
5. 16ms, 0.015599966049194336 unix
6. 0ms, 0.0 unix
7. 0ms, 0.0 unix
8. 0ms, 0.0 unix
9. 16ms, 0.015600204467773438 unix
10. 0ms, 0.0 unix
11. 0ms, 0.0 unix
12. 0ms, 0.0 unix
13. 0ms, 0.0 unix
14. 16ms, 0.015599966049194336 unix
15. 0ms, 0.0 unix
16. 0ms, 0.0 unix
17. 0ms, 0.0 unix
18. 0ms, 0.0 unix
19. 0ms, 0.0 unix
20. 0ms, 0.0 unix
SENT 283047.0 B
1. 0ms, 0.0 unix
2. 16ms, 0.015600204467773438 unix
3. 0ms, 0.0 unix
4. 0ms, 0.0 unix
5. 16ms, 0.015599966049194336 unix
6. 0ms, 0.0 unix
7. 0ms, 0.0 unix
8. 0ms, 0.0 unix
9. 16ms, 0.015599966049194336 unix
10. 0ms, 0.0 unix
11. 0ms, 0.0 unix
12. 0ms, 0.0 unix
13. 16ms, 0.015600204467773438 unix
14. 0ms, 0.0 unix
15. 0ms, 0.0 unix
16. 16ms, 0.015599966049194336 unix
17. 0ms, 0.0 unix
18. 0ms, 0.0 unix
19. 0ms, 0.0 unix
20. 16ms, 0.015599966049194336 unix
SENT 201741.0 B
1. 0ms, 0.0 unix
2. 0ms, 0.0 unix
3. 0ms, 0.0 unix
4. 0ms, 0.0 unix
5. 0ms, 0.0 unix
6. 0ms, 0.0 unix
7. 0ms, 0.0 unix
8. 16ms, 0.015600204467773438 unix
9. 0ms, 0.0 unix
10. 0ms, 0.0 unix
11. 0ms, 0.0 unix
12. 16ms, 0.015599727630615234 unix
13. 0ms, 0.0 unix
14. 0ms, 0.0 unix
15. 0ms, 0.0 unix
16. 16ms, 0.015600204467773438 unix
17. 0ms, 0.0 unix
18. 0ms, 0.0 unix
19. 0ms, 0.0 unix
20. 0ms, 0.0 unix
SENT 181530.0 B
1. 0ms, 0.0 unix
2. 0ms, 0.0 unix
3. 0ms, 0.0 unix
4. 0ms, 0.0 unix
5. 16ms, 0.015599966049194336 unix
6. 0ms, 0.0 unix
7. 0ms, 0.0 unix
8. 0ms, 0.0 unix
9. 0ms, 0.0 unix
10. 16ms, 0.015599966049194336 unix
11. 0ms, 0.0 unix
12. 0ms, 0.0 unix
13. 0ms, 0.0 unix
14. 16ms, 0.015599966049194336 unix
15. 0ms, 0.0 unix
16. 0ms, 0.0 unix
17. 0ms, 0.0 unix
18. 0ms, 0.0 unix
19. 16ms, 0.015599966049194336 unix
20. 0ms, 0.0 unix
SENT 4025805.0 B
1. 62ms, 0.062400102615356445 unix
2. 62ms, 0.062400102615356445 unix
3. 47ms, 0.04680013656616211 unix
4. 47ms, 0.04680013656616211 unix
5. 47ms, 0.04679989814758301 unix
6. 47ms, 0.04680013656616211 unix
7. 62ms, 0.062400102615356445 unix
8. 59ms, 0.05860257148742676 unix
9. 53ms, 0.05300307273864746 unix
10. 50ms, 0.0500028133392334 unix
11. 51ms, 0.05100274085998535 unix
12. 53ms, 0.05300283432006836 unix
13. 48ms, 0.04800271987915039 unix
14. 52ms, 0.052002906799316406 unix
15. 46ms, 0.046002864837646484 unix
16. 47ms, 0.04679989814758301 unix
17. 49ms, 0.04880023002624512 unix
18. 47ms, 0.04680013656616211 unix
19. 53ms, 0.052602291107177734 unix
